X-ray (ID 01) / Crystal angle θ_c,X-ray (ID 01) / Impulse Imp
θ_c/°,Imp/# / s
,
4,946
4.1,807
4.2,689
4.3,640
4.4,515
4.5,416
4.6,332
4.7,239
4.8,227
4.9,227
5,197
5.1,182
5.2,156
5.3,140
5.4,132
5.5,120
5.6,125
5.7,110
5.8,128
5.9,115
6,127
6.1,120
6.2,126
6.3,135
6.4,123
6.5,132
6.6,150
6.7,154
6.8,164
6.9,178
7,190
7.1,173
7.2,192
7.3,206
7.4,185
7.5,195
7.6,187
7.7,196
7.8,187
7.9,197
8,187
8.1,174
8.2,179
8.3,181
8.4,174
8.5,171
8.6,168
8.7,162
8.8,131
8.9,145
9,139
9.1,138
9.2,135
9.3,134
9.4,144
9.5,115
9.6,129
9.7,121
9.8,125
9.9,118
10,114
10.1,115
10.2,116
10.3,108
10.4,107
10.5,115
10.6,112
10.7,97
10.8,108
10.9,104
11,102
11.1,109
11.2,102
11.3,102
11.4,100
11.5,110
11.6,115
11.7,114
11.8,107
11.9,120
12,109
12.1,99
12.2,110
12.3,124
12.4,123
12.5,112
12.6,116
12.7,119
12.8,137
12.9,110
13,122
13.1,117
13.2,113
13.3,118
13.4,117
13.5,108
13.6,126
13.7,127
13.8,110
13.9,128
14,115
14.1,117
14.2,111
14.3,125
14.4,118
14.5,122
14.6,108
14.7,113
14.8,103
14.9,117
15,117
15.1,110
15.2,103
15.3,104
15.4,119
15.5,107
15.6,116
15.7,116
15.8,115
15.9,109
16,115
16.1,96
16.2,111
16.3,105
16.4,94
16.5,102
16.6,92
16.7,83
16.8,98
16.9,89
17,88
17.1,82
17.2,86
17.3,97
17.4,97
17.5,107
17.6,96
17.7,98
17.8,86
17.9,84
18,71
18.1,75
18.2,79
18.3,89
18.4,79
18.5,75
18.6,82
18.7,86
18.8,91
18.9,79
19,76
19.1,79
19.2,87
19.3,103
19.4,91
19.5,134
19.6,160
19.7,165
19.8,246
19.9,265
20,306
20.1,368
20.2,739
20.3,665
20.4,250
20.5,163
20.6,125
20.7,105
20.8,109
20.9,104
21,111
21.1,100
21.2,103
21.3,110
21.4,126
21.5,150
21.6,161
21.7,207
21.8,509
21.9,576
22,632
22.1,954
22.2,977
22.3,1143
22.4,1712
22.5,3019
22.6,2495
22.7,749
22.8,545
22.9,230
23,105
23.1,83
23.2,81
23.3,72
23.4,72
23.5,75
23.6,68
23.7,70
23.8,70
23.9,64
24,63
24.1,54
24.2,53
24.3,62
24.4,60
24.5,47
24.6,65
24.7,47
24.8,45
24.9,58
25,56
25.1,47
25.2,49
25.3,55
25.4,57
25.5,50
25.6,52
25.7,53
25.8,47
25.9,46
26,51
26.1,40
26.2,42
26.3,44
26.4,39
26.5,45
26.6,39
26.7,40
26.8,40
26.9,44
27,46
27.1,39
27.2,36
27.3,35
27.4,38
27.5,37
27.6,43
27.7,41
27.8,33
27.9,38
28,34
28.1,35
28.2,30
28.3,33
28.4,41
28.5,28
28.6,35
28.7,34
28.8,35
28.9,25
29,30
29.1,41
29.2,30
29.3,29
29.4,28
29.5,30
29.6,31
29.7,35
29.8,24
29.9,29
30,33
30.1,31
30.2,32
30.3,35
30.4,34
30.5,26
30.6,33
30.7,38
30.8,41
30.9,32
31,31
31.1,27
31.2,22
31.3,25
31.4,22
31.5,20
31.6,29
31.7,23
31.8,28
31.9,19
32,23
32.1,29
32.2,22
32.3,20
32.4,24
32.5,21
32.6,27
32.7,16
32.8,26
32.9,23
33,25
33.1,26
33.2,16
33.3,27
33.4,29
33.5,15
33.6,25
33.7,20
33.8,21
33.9,15
34,26
34.1,20
34.2,25
34.3,26
34.4,25
34.5,16
34.6,27
34.7,24
34.8,19
34.9,19
35,21
35.1,16
35.2,17
35.3,19
35.4,22
35.5,20
35.6,18
35.7,20
35.8,19
35.9,18
36,18
36.1,23
36.2,19
36.3,20
36.4,14
36.5,22
36.6,16
36.7,19
36.8,22
36.9,17
37,21
37.1,18
37.2,25
37.3,14
37.4,19
37.5,19
37.6,17
37.7,21
37.8,14
37.9,24
38,17
38.1,17
38.2,18
38.3,20
38.4,15
38.5,21
38.6,19
38.7,17
38.8,16
38.9,19
39,12
39.1,17
39.2,18
39.3,16
39.4,18
39.5,19
39.6,15
39.7,18
39.8,20
39.9,19
40,11
40.1,17
40.2,16
40.3,18
40.4,16
40.5,17
40.6,13
40.7,19
40.8,11
40.9,17
41,17
41.1,15
41.2,18
41.3,17
41.4,14
41.5,17
41.6,18
41.7,14
41.8,19
41.9,15
42,12
42.1,17
42.2,18
42.3,16
42.4,20
42.5,19
42.6,16
42.7,19
42.8,23
42.9,43
43,67
43.1,65
43.2,39
43.3,31
43.4,38
43.5,37
43.6,56
43.7,104
43.8,53
43.9,29
44,16
44.1,17
44.2,16
44.3,18
44.4,20
44.5,15
44.6,17
44.7,17
44.8,17
44.9,14
45,17
45.1,26
45.2,13
45.3,17
45.4,14
45.5,15
45.6,11
45.7,17
45.8,15
45.9,17
46,16
46.1,13
46.2,19
46.3,17
46.4,15
46.5,19
46.6,15
46.7,10
46.8,14
46.9,15
47,16
47.1,17
47.2,19
47.3,15
47.4,21
47.5,17
47.6,18
47.7,17
47.8,14
47.9,19
48,24
48.1,20
48.2,18
48.3,23
48.4,21
48.5,26
48.6,22
48.7,17
48.8,33
48.9,30
49,55
49.1,143
49.2,268
49.3,267
49.4,191
49.5,177
49.6,121
49.7,145
49.8,240
49.9,435
50,244
50.1,221
50.2,60
50.3,36
50.4,32
50.5,19
50.6,21
50.7,21
50.8,19
50.9,21
51,19
51.1,19
51.2,12
51.3,14
51.4,19
51.5,16
51.6,19
51.7,22
51.8,15
51.9,19
52,17
52.1,15
52.2,17
52.3,15
52.4,18
52.5,14
52.6,23
52.7,21
52.8,10
52.9,16
53,15
53.1,8
53.2,14
53.3,12
53.4,14
53.5,13
53.6,13
53.7,17
53.8,17
53.9,13
54,16
54.1,13
54.2,19
54.3,17
54.4,16
54.5,13
54.6,14
54.7,20
54.8,13
54.9,11
55,15
